🗂️ Rapport de cohérence - 2025-05-01T19:47:46.130Z

[686] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-314-686 | Slug: lait-infantile-bio-everymilk-3-croissance-de-10-mois-à-3-ans--- | Name: Lait Infantile Bio Everymilk 3 Croissance De 10 Mois À 3 Ans - 
[716] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-322-716 | Slug: boîte-en-métal-aretusa-avec-cantucci-biscuits-moelleux-siciliens-aux-amandes-et-au-chocolat-de-modica-igp-250-gr- | Name: Boîte En Métal Aretusa Avec Cantucci Biscuits Moelleux Siciliens Aux Amandes Et Au Chocolat De Modica Igp 250 Gr 
[717] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-323-717 | Slug: boîte-finzia-avec-biscuits-assortis:-ricci-aux-amandes,-ricci-à-la-pistache-et-praline-aux-noix-de-coco-120-gr- | Name: Boîte Finzia Avec Biscuits Assortis: Ricci Aux Amandes, Ricci À La Pistache Et Praline Aux Noix De Coco 120 Gr 
[718] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-323-718 | Slug: boîte-finzia-avec-biscuits-assortis:-ricci-aux-amandes,-ricci-à-la-pistache-et-praline-aux-noix-de-coco-120-gr- | Name: Boîte Finzia Avec Biscuits Assortis: Ricci Aux Amandes, Ricci À La Pistache Et Praline Aux Noix De Coco 120 Gr 
[719] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-323-719 | Slug: boîte-finzia-avec-biscuits-assortis:-ricci-aux-amandes,-ricci-à-la-pistache-et-praline-aux-noix-de-coco-120-gr- | Name: Boîte Finzia Avec Biscuits Assortis: Ricci Aux Amandes, Ricci À La Pistache Et Praline Aux Noix De Coco 120 Gr 
[720] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-324-720 | Slug: boîte-scilla-avec-biscuits-assortis:-ricci-aux-amandes,-ricci-à-la-pistache-et-praline-aux-noix-de-coco-120-gr- | Name: Boîte Scilla Avec Biscuits Assortis: Ricci Aux Amandes, Ricci À La Pistache Et Praline Aux Noix De Coco 120 Gr 
[721] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-324-721 | Slug: boîte-scilla-avec-biscuits-assortis:-ricci-aux-amandes,-ricci-à-la-pistache-et-praline-aux-noix-de-coco-120-gr- | Name: Boîte Scilla Avec Biscuits Assortis: Ricci Aux Amandes, Ricci À La Pistache Et Praline Aux Noix De Coco 120 Gr 
[722] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-324-722 | Slug: boîte-scilla-avec-biscuits-assortis:-ricci-aux-amandes,-ricci-à-la-pistache-et-praline-aux-noix-de-coco-120-gr- | Name: Boîte Scilla Avec Biscuits Assortis: Ricci Aux Amandes, Ricci À La Pistache Et Praline Aux Noix De Coco 120 Gr 
[723] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-325-723 | Slug: lait-france-bebe-bio-1-boite-de-400g- | Name: Lait France Bebe Bio 1 Boite De 400g 
[724] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-325-724 | Slug: lait-france-bebe-bio-1-boite-de-400g- | Name: Lait France Bebe Bio 1 Boite De 400g 
[725] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-325-725 | Slug: lait-france-bebe-bio-1-boite-de-400g- | Name: Lait France Bebe Bio 1 Boite De 400g 
[769] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-349-769 | Slug: monsieur-madame-set-de-3-bavoirs-tissus-madame-(madame-bavarde,-madam- | Name: Monsieur Madame Set De 3 Bavoirs Tissus Madame (madame Bavarde, Madam 
[770] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-350-770 | Slug: boon-squirt-cuillere-distributrice-d'aliment---vert- | Name: Boon Squirt Cuillere Distributrice D'aliment - Vert 
[771] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-351-771 | Slug: beaba-baby-portion---120-ml---vert- | Name: Beaba Baby Portion - 120 Ml - Vert 
[772] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-352-772 | Slug: beaba-cuillere-1er-repas-soft-en-silicone-neon- | Name: Beaba Cuillere 1er Repas Soft En Silicone Neon 
[13592] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-12443-13592 | Slug: beurre-de-cacahuète-chocolat-nu3 | Name: Beurre de cacahuète  chocolat NU3
[1407] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-770-1407 | Slug: biberon-1er-âge-à-col-large-300ml-nuk | Name: Biberon 1er âge à col large 300mL NUK
[1408] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-771-1408 | Slug: biberon-physio-beige-l | Name: Biberon physio Beige L
[84] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-43-84 | Slug: gourde-multi-fruits-bio-babybio | Name: Gourde multi fruits Bio  BABYBIO
[731] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-327-731 | Slug: gallia-calisma-1-lait-en-poudre-pour-bébé---3-x-830-g---de-0-a-6-mois- | Name: Gallia Calisma 1 Lait En Poudre Pour Bébé - 3 X 830 G - De 0 A 6 Mois 
[732] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-327-732 | Slug: gallia-calisma-1-lait-en-poudre-pour-bébé---3-x-830-g---de-0-a-6-mois- | Name: Gallia Calisma 1 Lait En Poudre Pour Bébé - 3 X 830 G - De 0 A 6 Mois 
[733] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-327-733 | Slug: gallia-calisma-1-lait-en-poudre-pour-bébé---3-x-830-g---de-0-a-6-mois- | Name: Gallia Calisma 1 Lait En Poudre Pour Bébé - 3 X 830 G - De 0 A 6 Mois 
[734] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-328-734 | Slug: gallia---calisma-relais-2---lait-en-poudre-pour-bébé---3-x-830-g---des-6-mois-a-1-an- | Name: Gallia - Calisma Relais 2 - Lait En Poudre Pour Bébé - 3 X 830 G - Des 6 Mois A 1 An 
[13750] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-12600-13750 | Slug: confiture-fraise-70%-leonce-blanc | Name: Confiture fraise 70% LEONCE BLANC
[5] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-3-5 | Slug: compotes-bébé-dès-4/6-mois,-pommes-pruneaux-naturnes | Name: Compotes bébé dès 4/6 mois, pommes pruneaux NATURNES
[85] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-43-85 | Slug: gourde-multi-fruits-bio-babybio | Name: Gourde multi fruits Bio  BABYBIO
[735] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-328-735 | Slug: gallia---calisma-relais-2---lait-en-poudre-pour-bébé---3-x-830-g---des-6-mois-a-1-an- | Name: Gallia - Calisma Relais 2 - Lait En Poudre Pour Bébé - 3 X 830 G - Des 6 Mois A 1 An 
[1584] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-947-1584 | Slug: accessoire-textile-chicco-crescendo-lite---pour-chaise-haute | Name: Accessoire Textile Chicco Crescendo Lite - Pour Chaise Haute
[1585] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-948-1585 | Slug: chicco-rehausseur-de-table-pocket-snack-dark-grey | Name: Chicco Rehausseur De Table Pocket Snack Dark Grey
[1586] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-949-1586 | Slug: chaise-haute-chicco-crescendo-lite---milan-mist | Name: Chaise Haute Chicco Crescendo Lite - Milan Mist
[1587] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-950-1587 | Slug: chicco---chaise-haute-polly-2-start-dots | Name: Chicco - Chaise Haute Polly 2 Start Dots
[1588] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-951-1588 | Slug: chicco---chaise-haute-polly-easy-giraffe | Name: Chicco - Chaise Haute Polly Easy Giraffe
[773] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-353-773 | Slug: beaba-coffret-repas-cadeau-rainbow- | Name: Beaba Coffret Repas Cadeau Rainbow 
[774] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-354-774 | Slug: béaba-lot-de-4-cuilleres-1er-repas-soft-silicone-bunny- | Name: Béaba Lot De 4 Cuilleres 1er Repas Soft Silicone Bunny 
[775] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-355-775 | Slug: dbb-remond-systeme-clic-clac-(protege-tétine-avec-coque-intégré)-nu--- | Name: Dbb Remond Systeme Clic Clac (protege Tétine Avec Coque Intégré) Nu - 
[776] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-356-776 | Slug: dodie-kit-chauffe-biberon-+-2-biberons-initiation-valentin-lagoon---0- | Name: Dodie Kit Chauffe Biberon + 2 Biberons Initiation Valentin Lagoon - 0 
[777] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-357-777 | Slug: nuvita-boîte-thermique-alimentaire-en-acier-inoxydable-350ml- | Name: Nuvita Boîte Thermique Alimentaire En Acier Inoxydable 350ml 
[778] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-358-778 | Slug: nuvita-boîte-thermique-alimentaire-en-acier-inoxydable-avec-sac-de-tr- | Name: Nuvita Boîte Thermique Alimentaire En Acier Inoxydable Avec Sac De Tr 
[779] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-359-779 | Slug: tommee-tippee-bavoir-éponge- | Name: Tommee Tippee Bavoir Éponge 
[736] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-328-736 | Slug: gallia---calisma-relais-2---lait-en-poudre-pour-bébé---3-x-830-g---des-6-mois-a-1-an- | Name: Gallia - Calisma Relais 2 - Lait En Poudre Pour Bébé - 3 X 830 G - Des 6 Mois A 1 An 
[11606] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-10459-11606 | Slug: biscuits-nappés-au-chocolat-au-lait-mikado-lu | Name: Biscuits nappés au chocolat au lait Mikado LU
[1409] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-772-1409 | Slug: biberon-col-large-temperature-control-300ml-0-6-mois-serenity-+-nuk | Name: Biberon col large temperature control 300mL 0-6 mois Serenity + NUK
[737] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-328-737 | Slug: gallia---calisma-relais-2---lait-en-poudre-pour-bébé---3-x-830-g---des-6-mois-a-1-an- | Name: Gallia - Calisma Relais 2 - Lait En Poudre Pour Bébé - 3 X 830 G - Des 6 Mois A 1 An 
[738] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-329-738 | Slug: lait-1-combiotic®-pour-nourrissons---la-boite-de-800g---hipp- | Name: Lait 1 Combiotic® Pour Nourrissons - La Boite De 800g - Hipp 
[739] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-330-739 | Slug: compote-bébé-dès-6-mois-pommes-myrtilles-grenades-bio-hipp-biologique- | Name: Compote bébé dès 6 mois pommes myrtilles grenades Bio HIPP BIOLOGIQUE 
[740] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-330-740 | Slug: compote-bébé-dès-6-mois-pommes-myrtilles-grenades-bio-hipp-biologique- | Name: Compote bébé dès 6 mois pommes myrtilles grenades Bio HIPP BIOLOGIQUE 
[741] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-330-741 | Slug: compote-bébé-dès-6-mois-pommes-myrtilles-grenades-bio-hipp-biologique- | Name: Compote bébé dès 6 mois pommes myrtilles grenades Bio HIPP BIOLOGIQUE 
[742] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-331-742 | Slug: miniland-baby-sac-isotherme-thermibag-soft---0,5-l- | Name: Miniland Baby Sac Isotherme Thermibag Soft  - 0,5 L 
[743] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-332-743 | Slug: 2-tasses-d'apprentissage-magic-cup-230-ml- | Name: 2 Tasses D'apprentissage Magic Cup 230 Ml 
[744] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-333-744 | Slug: physiolac-bio-2---lot-de-6-boites-de-800g- | Name: Physiolac Bio 2 - Lot De 6 Boites De 800g 
[745] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-333-745 | Slug: physiolac-bio-2---lot-de-6-boites-de-800g- | Name: Physiolac Bio 2 - Lot De 6 Boites De 800g 
[780] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-360-780 | Slug: babymoov-chauffe-biberon-tulipe-maison/voiture-cream- | Name: Babymoov Chauffe-biberon Tulipe Maison/voiture Cream 
[781] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-361-781 | Slug: babymoov-set-de-3-couverts-inox-azur- | Name: Babymoov Set De 3 Couverts Inox Azur 
[782] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-362-782 | Slug: miniland---bouteille-thermique-en-acier-inoxydable-avec-paille,-therm- | Name: Miniland - Bouteille Thermique En Acier Inoxydable Avec Paille, Therm 
[783] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-363-783 | Slug: chaise-haute-gris-webaby | Name: Chaise haute gris WEBABY
[1594] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-957-1594 | Slug: dodie-tasse-paille-+18-mois-350ml-jaune | Name: Dodie Tasse Paille +18 Mois 350ml Jaune
[1595] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-958-1595 | Slug: dodie-kit-sensation-biberons-270-ml-x3-eb1 | Name: Dodie Kit Sensation Biberons 270 Ml X3 Eb1
[1596] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-959-1596 | Slug: dodie-kit-sensation-biberons-330-ml-x3-eb4 | Name: Dodie Kit Sensation Biberons 330 Ml X3 Eb4
[1597] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-960-1597 | Slug: dodie-biberons-kit-330ml-mickey-x3-eb5 | Name: Dodie Biberons Kit 330ml Mickey X3 Eb5
[1598] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-961-1598 | Slug: coussinets-d'allaitement-slim-jour---pochette-individuelle-x100 | Name: Coussinets D'allaitement Slim Jour - Pochette Individuelle X100
[1828] ✅ PostgreSQL | ✅ Redis | ✅ Elasticsearch → 🔎 SKU: SKU-1191-1828 | Slug: rehausseur-de-chaise-yeehop | Name: Rehausseur De Chaise Yeehop
